NumItems,TimeTaken(s),InstancePath
60,1.08,instances/mochila_chica_n60_no_conflict.txt
30,0.07,instances/mochila_chica_n30_no_conflict.txt
40,0.20,instances/mochila_chica_n40_no_conflict.txt
40,0.07,instances/mochila_apretada_n40_no_conflict.txt
20,0.04,instances/mochila_apretada_n20_no_conflict.txt
70,0.11,instances/mochila_apretada_n70_no_conflict.txt
30,0.05,instances/mochila_apretada_n30_no_conflict.txt
100,7.20,instances/mochila_chica_n100_no_conflict.txt
70,2.17,instances/mochila_chica_n70_no_conflict.txt
10,0.00,instances/mochila_chica_n10_no_conflict.txt
60,0.10,instances/mochila_apretada_n60_no_conflict.txt
90,4.71,instances/mochila_chica_n90_no_conflict.txt
10,0.02,instances/mochila_apretada_n10_no_conflict.txt
80,0.13,instances/mochila_apretada_n80_no_conflict.txt
20,0.01,instances/mochila_chica_n20_no_conflict.txt
50,0.08,instances/mochila_apretada_n50_no_conflict.txt
50,0.54,instances/mochila_chica_n50_no_conflict.txt
80,3.08,instances/mochila_chica_n80_no_conflict.txt
