NumItems,TimeTaken(s),InstancePath
60,17.43,instances/mochila_chica_n60_no_conflict.txt
30,1.19,instances/mochila_chica_n30_no_conflict.txt
40,3.57,instances/mochila_chica_n40_no_conflict.txt
40,1.20,instances/mochila_apretada_n40_no_conflict.txt
20,0.64,instances/mochila_apretada_n20_no_conflict.txt
70,1.98,instances/mochila_apretada_n70_no_conflict.txt
30,0.92,instances/mochila_apretada_n30_no_conflict.txt
100,173.96,instances/mochila_chica_n100_no_conflict.txt
70,29.76,instances/mochila_chica_n70_no_conflict.txt
10,0.09,instances/mochila_chica_n10_no_conflict.txt
60,1.72,instances/mochila_apretada_n60_no_conflict.txt
90,130.40,instances/mochila_chica_n90_no_conflict.txt
10,0.39,instances/mochila_apretada_n10_no_conflict.txt
80,2.38,instances/mochila_apretada_n80_no_conflict.txt
20,0.22,instances/mochila_chica_n20_no_conflict.txt
50,1.48,instances/mochila_apretada_n50_no_conflict.txt
50,8.71,instances/mochila_chica_n50_no_conflict.txt
80,92.58,instances/mochila_chica_n80_no_conflict.txt
